REPO, SMELL, LOCATION
./terraform/gl-infra-aws-nessus-scanner/, HARD_CODED_SECRET, server.tf.data.cloudinit_config.init[0].part[0].content
./terraform/gl-infra-aws-nessus-scanner/, HARD_CODED_SECRET, variables.tf.variable.tenable_linking_key[0].description
./terraform/gl-infra-aws-nessus-scanner/, INVALID_IP_BINDING, security.tf.resource.aws_security_group_rule.nessus-allow-outbound[0].cidr_blocks[0]
./terraform/terraform-aws-modules-terraform-aws-eks/, HARD_CODED_SECRET, variables.tf.variable.attach_cluster_encryption_policy[0].description
./terraform/terraform-aws-modules-terraform-aws-eks/, HARD_CODED_SECRET, variables.tf.variable.cloudwatch_log_group_kms_key_id[0].description
./terraform/terraform-aws-modules-terraform-aws-eks/, HARD_CODED_SECRET, variables.tf.variable.cluster_addons[0].description
./terraform/terraform-aws-modules-terraform-aws-eks/, HARD_CODED_SECRET, variables.tf.variable.cluster_encryption_config[0].default.resources[0]
./terraform/terraform-aws-modules-terraform-aws-eks/, HARD_CODED_SECRET, variables.tf.variable.cluster_encryption_config[0].description
./terraform/terraform-aws-modules-terraform-aws-eks/, HARD_CODED_SECRET, variables.tf.variable.cluster_encryption_policy_description[0].default
./terraform/terraform-aws-modules-terraform-aws-eks/, HARD_CODED_SECRET, variables.tf.variable.cluster_encryption_policy_description[0].description
./terraform/terraform-aws-modules-terraform-aws-eks/, HARD_CODED_SECRET, variables.tf.variable.cluster_encryption_policy_name[0].description
./terraform/terraform-aws-modules-terraform-aws-eks/, HARD_CODED_SECRET, variables.tf.variable.cluster_encryption_policy_path[0].description
./terraform/terraform-aws-modules-terraform-aws-eks/, HARD_CODED_SECRET, variables.tf.variable.cluster_encryption_policy_tags[0].description
./terraform/terraform-aws-modules-terraform-aws-eks/, HARD_CODED_SECRET, variables.tf.variable.cluster_encryption_policy_use_name_prefix[0].description
./terraform/terraform-aws-modules-terraform-aws-eks/, HARD_CODED_SECRET, variables.tf.variable.cluster_identity_providers[0].description
./terraform/terraform-aws-modules-terraform-aws-eks/, HARD_CODED_SECRET, variables.tf.variable.create_kms_key[0].description
./terraform/terraform-aws-modules-terraform-aws-eks/, HARD_CODED_SECRET, variables.tf.variable.custom_oidc_thumbprints[0].description
./terraform/terraform-aws-modules-terraform-aws-eks/, HARD_CODED_SECRET, variables.tf.variable.enable_irsa[0].description
./terraform/terraform-aws-modules-terraform-aws-eks/, HARD_CODED_SECRET, variables.tf.variable.enable_kms_key_rotation[0].description
